property_title,location,number_of_rooms,price,size
بوشر مال عمان,"Bosher, Muscat•",2,OMR 270,"12,345 SQM"
Villa for Rent South Al-Hail فيلا للايجار الحيل الحنوبية,"Al Hail, Muscat•",7,OMR 550,300 SQM
Sharing Room /Bed Space availabe,"Ruwi, Muscat•",1,OMR 40,90 SQM
صلالة/عوقد الشمالية,"Salalah, Dhofar•",1,OMR 10,10 SQM
صلاله,"Salalah, Dhofar•",,OMR 400,550 SQM
Room Available in Sohar - Sharing Basis (Short Term),"Sohar, Al Batinah•",1,OMR 65,140 SQM
a room for rent,"Al Khuwair, Muscat•",1,OMR 105,12 SQM
استديو للإيجار studio room for rent,"Salalah, Dhofar•",1,OMR 20,100 SQM
منزل بولاية الخابورة للإيجار  House for rent in Al Khabourah,"Al Khaboura, Al Batinah•",2,OMR 120,150 SQM
غرفللإيجار الشهري,"Ibri, Al Dhahirah•",4,OMR 50,600 SQM
Room rent,"Ruwi, Muscat•",1,OMR 100,10 SQM
rent & bed space in alkhud سكن عزاب بالخوض,"Al Khoud, Muscat•",4,OMR 40,200 SQM
يوجد لدينا سكن لطالبات والموظفات,"Al Maabilah, Muscat•",10,OMR 50,600 SQM
شقه للإيجار,"Bahla, Al Dakhiliya•",1,OMR 100,33 SQM
محل صغير للايجار,"Bahla, Al Dakhiliya•",,OMR 90,10 SQM
1bhk with split Ac R. o 135 Ruwi Mbd area.,"Ruwi, Muscat•",1,OMR 135,70 SQM
Branded Offices for Rent in the city at Madinat Sultan Qaboos,"Madinat As Sultan Qaboos, Muscat•",,OMR 845,234 SQM
Branded Offices for Rent in the city of Madinat Sultan Qaboos,"Madinat As Sultan Qaboos, Muscat•",,OMR 775,200 SQM
Flat (second floor)for rent in almabellah near badr alsama hospital,"Al Maabilah, Muscat•",3,OMR 150,120 SQM
Al Khuwair 42,"Al Khuwair, Muscat•",2,OMR 200,10 SQM
أبحث عن شقة عائلية للايجار في الخوض السابعه,"Al Khoud, Muscat•",2,OMR 200,222 SQM
Shop for Rent in Barka  محل للايجار في مسار بركاء مول,"Barka, Al Batinah•",,OMR 300,28.3 SQM
For Rent Room Mabela,"Al Maabilah, Muscat•",1,OMR 95,25 SQM
Daily & monthly room rent 8 riyal,"Al Maabilah, Muscat•",1,OMR 10,150 SQM
غرفة الايجار اليومي 7 ريال المعبيلةDaily room rent 7 omr,"Al Maabilah, Muscat•",1,OMR 10,150 SQM
غرفة لمدة اسبوع 49 ريال المعبيلة,"Al Maabilah, Muscat•",1,OMR 50,150 SQM
Per day room rent 8 riyal mabilah,"Al Maabilah, Muscat•",1,OMR 10,120 SQM
Daily Room Rent mabelah 7 riyal,"Al Maabilah, Muscat•",1,OMR 10,150 SQM
Daily room rent 7 riyal. إيجار الغرفة اليومي,"Al Maabilah, Muscat•",1,OMR 10,120 SQM
1Bedroom flat,"Ruwi, Muscat•",1,OMR 130,90 SQM
flat for rent in alhail north behind NMC Hospital,"Al Hail, Muscat•",3,OMR 170,220 SQM
للايجار محل بالخوض السادسه 80 ريال يصلح لمخزن,"Al Khoud, Muscat•",,OMR 80,20 SQM
شاليه للإيجار اليومي – بركاء / سلطنة عمان   استمتع بالراحة والخصوصية,"Barka, Al Batinah•",3,OMR 50,800 SQM
Single Sharing Room Available Per Day,"Salalah, Dhofar•",1,OMR 10,11.11 SQM
Amazing villa for rent in Azaiba,"Azaiba, Muscat•",5,OMR 630,350 SQM
Spacious flat in duplex villa,"Al Hail, Muscat•",3,OMR 275,320 SQM
مكتب مؤثث للايجار في الخوض شارع البركات (مساحة المكتب : 180 متر),"Al Khoud, Muscat•",,OMR 700,180 SQM
مسقط الغبرة ايجار شهري شقه مفروشه جزئي,"Al Ghubrah, Muscat•",2,OMR 115,120 SQM
شقة نظيفة للايجار خريف صلالة,"Salalah, Dhofar•",2,"OMR 1,000",80 SQM
Salalah Hwana,"Taqah, Dhofar•",1,OMR 300,90 SQM
Salalah Hawana Resort,"Taqah, Dhofar•",2,OMR 450,120 SQM
3 Bhk Apartment for rent in wadi kabir,"Al Wadi Al Kabir, Muscat•",3,OMR 200,300 SQM
"Brand new apartment for rent in walja, ruwi","Ruwi, Muscat•",2,OMR 180,200 SQM
شقق وفلل  للايجار اليومي,"Salalah, Dhofar•",6,OMR 100,900 SQM
غرف وشقق مفروشه للايجار الشهرى المعبيله,"Al Maabilah, Muscat•",2,OMR 280,100 SQM
شقه مفروشه للايجار المعبيله لليوم ١٥ الشهر ٢٤٠ شامل ماى ونت,"Al Maabilah, Muscat•",1,OMR 240,100 SQM
bed space for rent,"Al Maabilah, Muscat•",1,OMR 30,40 SQM
Rent a Room,"Qurum, Muscat•",1,OMR 100,"3,564 SQM"
شقة فاخرة باثاث حديث للايجار اليومي  في صلالة السعادة الشمالية,"Salalah, Dhofar•",2,OMR 200,120 SQM
شقق مفروشة ايجار يومي 25 ر. ع صلالة الجديدة,"Salalah, Dhofar•",2,OMR 50,120 SQM
indestrial land with storage area,"Al Rusayl, Muscat•",,"OMR 1,600",700 SQM
فيلا للايجار اليومي في صلاله,"Salalah, Dhofar•",6,OMR 60,"1,500 SQM"
Room with attached bathroom for executive bachelors,"Ruwi, Muscat•",1,OMR 105,40 SQM
يوجد لدينا شقق للايجار اليومي,"Salalah, Dhofar•",3,OMR 50,150 SQM
للايجار استراحة السندية بولاية السيب Sendya Farm for rent in Al Seeb,"Al Hail, Muscat•",3,OMR 60,"4,000 SQM"
الخوير,"Al Khuwair, Muscat•",1,OMR 150,20 SQM
شقة للايجار العامرات المحج,"Al Amarat, Muscat•",3,OMR 250,90 SQM
شارع مزون,"Al Khoud, Muscat•",1,OMR 300,81 SQM
استراحة عائلية في سهل صلاله,"Salalah, Dhofar•",4,OMR 110,250 SQM
Furnished Room,"Al Seeb, Muscat•",1,OMR 90,10 SQM
شقه للايجا اليومي60,"Salalah, Dhofar•",3,OMR 55,280 SQM
Apartment for family,"Al Seeb, Muscat•",3,OMR 160,170 SQM
شقق ستوديو,"Salalah, Dhofar•",1,OMR 50,"1,111 SQM"
مسقط بوشر,"Bosher, Muscat•",5,,600 SQM
Fully furnished penthouse 2bhk apartment. Monthly rental,"Al Hail, Muscat•",2,OMR 450,150 SQM
salalah room for daily rent,"Salalah, Dhofar•",4,OMR 10,"5,000 SQM"
غرف للايجار ب6 ريال في الخوض السادسه,"Al Khoud, Muscat•",1,OMR 10,10 SQM
bed space for lady in alkhuwair 35rial all bills included,"Al Khuwair, Muscat•",1,OMR 35,200 SQM
غرفه وحمام فقط بالغبره خلف فندق الريف وبجوار المدرسه الهنديه السعر 120,"Al Ghubrah, Muscat•",1,OMR 120,50 SQM
غرفه وحمام فقط بالغبره امام التمام ماركت السعر 110 شامل,"Al Ghubrah, Muscat•",1,OMR 110,50 SQM
room for rent,"Al Ghubrah, Muscat•",1,OMR 100,200 SQM
الغبره الشماليه,"Azaiba, Muscat•",3,OMR 270,200 SQM
Apartment for rent in Mabellah south opposite of Muscat Mall 250 Rial,"Al Maabilah, Muscat•",3,OMR 250,120 SQM
"Apartments for rent in Wadi Alkabeer,next to the Indian school(ISWI)","Al Wadi Al Kabir, Muscat•",1,OMR 160,70 SQM
أرض صناعية  في شمال المسفاة بوشر مسقط مساحة ١٠٠٠متر,"Misfah, Muscat•",,"OMR 1,000","1,000 SQM"
شقة للإيجار اليوم في صحلنوت,"Salalah, Dhofar•",3,OMR 50,300 SQM
Studio Room for Rent Has Separate Entrance,"Al Khuwair, Muscat•",1,OMR 140,150 SQM
Studio Room for Rent Has Own Entrance,"Al Khuwair, Muscat•",1,OMR 140,200 SQM
two furnished rooms in amerat including bills and wifi,"Al Amarat, Muscat•",3,OMR 70,25 SQM
apartment in qurum,"Qurum, Muscat•",2,OMR 230,40 SQM
House shiffting service all Muscat oman and,"Al Khoud, Muscat•",2,OMR 75,65 SQM
"Premium Shop for Rent – Muscat Pavilion, Levelling Floor – Shop No. 17","Muscat Hills, Muscat•",,OMR 550,52.3 SQM
Villa in mabeila south for rent,"Al Maabilah, Muscat•",6,OMR 450,150 SQM
غرفه ومطبخ وحمام الخوير خلف مجمع الياسمين 190,"Al Khuwair, Muscat•",1,OMR 190,60 SQM
شقق للإيجار,"Qurum, Muscat•",1,OMR 220,70 SQM
شقةً للايجار اليومي المعبيلة الجنوبية,"Al Maabilah, Muscat•",2,OMR 50,20 SQM
غرفه للايجار اليومي او الشهري جديده مؤثثه موقع حيوي و جديد في المعبيله,"Al Maabilah, Muscat•",2,OMR 12,900 SQM
Flat for Rent Near Indian School Mobelah (Kerala Family Only),"Al Maabilah, Muscat•",3,OMR 130,"1,000 SQM"
محل طابقين في محطة بترول نفط عمان,"Madinat As Sultan Qaboos, Muscat•",,OMR 300,185 SQM
amazing  atandalonw house in hail north,"Al Hail, Muscat•",5,OMR 475,300 SQM
Room for rent,"Al Khuwair, Muscat•",1,OMR 80,30 SQM
صلالة - القوف,"Salalah, Dhofar•",2,OMR 50,400 SQM
room rent with attached bathroom and dressing room,"Al Mawaleh, Muscat•",1,OMR 130,40 SQM
2 bhk flat for rent,"Ruwi, Muscat•",1,OMR 140,65 SQM
2 bhk flat,"Ruwi, Muscat•",2,OMR 140,65 SQM
الخوير,"Al Khuwair, Muscat•",1,OMR 45,10 SQM
Fully furnished RoomFor Rent,"Ruwi, Muscat•",1,OMR 90,21 SQM
مكتب جاهز للايجار في المعبيلة الثامنة-Office for rent,"Al Maabilah, Muscat•",,OMR 180,105 SQM
شقق للايجار في سوق السيب,"Al Seeb, Muscat•",3,OMR 200,95 SQM
شقة للايجار قنتب 99210906,"Qantab, Muscat•",3,OMR 200,100 SQM
Bedspace,"Al Ghubrah, Muscat•",2,OMR 50,160 SQM
House shiffting professional carpenter service h,"Al Khoud, Muscat•",2,OMR 70,98 SQM
2SHOP FOR RENT IN SANDAN/محلين للإيجار في ساندان,"Muscat - Other, Muscat•",,OMR 300,120 SQM
محل للايجار shop for rent,"Al Amarat, Muscat•",,OMR 150,30 SQM
Luxury One Bedroom Apartment Hawana Beach Resort,"Salalah, Dhofar•",1,OMR 50,60 SQM
Brand New Smart 4+1 BHK Villa in Azaiba with Sea View  76324666 LRV40,"Azaiba, Muscat•",5,"OMR 1,400",400 SQM
العذيبه,"Azaiba, Muscat•",2,OMR 310,100 SQM
أرض زراعية للإيجار,"Al Buraimi, Al Buraimi•",,OMR 300,"21,000 SQM"
Fully Furnished Room with Kitchen & Bathroom,"Al Khuwair, Muscat•",1,OMR 200,100 SQM
room for rent عرفة للإيجار,"Al Maabilah, Muscat•",1,OMR 85,20 SQM
Room for rent in mabela عرفة للإيجار في المعبيلة,"Al Maabilah, Muscat•",1,OMR 100,18 SQM
شقة للايجار في المعبيلة السادسة  Apartment for rent in Maabilah 6th,"Al Seeb, Muscat•",2,OMR 205,77 SQM
Family room. Will be rented to a bachelor or family.,"Ruwi, Muscat•",1,OMR 110,500 SQM
room for rent,"Ruwi, Muscat•",1,OMR 80,112 SQM
Fully Furnished & Comfortable Apartments For Rent In Duqm,"Al Duqum, Al Wusta•",1,OMR 190,55 SQM
شقة مفروشة للإيجار في مكان حيوي وقريب من جميع الخدمات,"Salalah, Dhofar•",2,OMR 170,100 SQM
Family Flat For Rent,"Sohar, Al Batinah•",2,OMR 130,400 SQM
2 Rooms working lady/couple,"Ruwi, Muscat•",1,OMR 75,50 SQM
Commercial Store for Rent,"Bosher, Muscat•",,OMR 250,41 SQM
‏محافظة ظفار صلالة صحنوت الجنوبية,"Salalah, Dhofar•",5,OMR 60,300 SQM
السويق الخضراء,"Suwaiq, Al Batinah•",4,OMR 100,600 SQM
Villa for Rent,"Al Amarat, Muscat•",5,OMR 490,363 SQM
شقة مفروشة للتأجير اليومي والشهري في نزوى,"Nizwa, Al Dakhiliya•",3,OMR 50,100 SQM
for executive male bachelor one person small room available for rent,"Ghala, Muscat•",1,OMR 80,30 SQM
Room & car also pick up service available all over salalah,"Salalah, Dhofar•",4,OMR 50,38 SQM
A bed space for rent,"Al Khuwair, Muscat•",1,OMR 35,30 SQM
Couple Chalet for Rent on Daily Basis,"Barka, Al Batinah•",1,OMR 75,350 SQM
Chalet for Daily rent,"Barka, Al Batinah•",3,OMR 70,350 SQM
1 bedroom family apartment شقة غرفة وحدة للعوائل,"Al Khuwair, Muscat•",1,OMR 170,100 SQM
alkhawer room attached bathroom for rent,"Al Khuwair, Muscat•",1,OMR 110,20 SQM
room for rent,"Al Ghubrah, Muscat•",1,OMR 120,70 SQM
شقة للايجار في العامرات,"Al Amarat, Muscat•",2,OMR 170,82 SQM
"Room for rent 70 OMR ncluding water, electricity and WiFi","Azaiba, Muscat•",1,OMR 70,50 SQM
Villa For Rent In Awqad ڤيلا للإيجار في عوقد,"Salalah, Dhofar•",4,OMR 60,"5,000 SQM"
luxury flats and studios for rent in Al hail,"Al Hail, Muscat•",2,OMR 240,90 SQM
شقة للإيجار السنوي او الشهري او اليومي,"Salalah, Dhofar•",2,"OMR 1,000",78 SQM
fully furnished Apartment for rent family,"Ruwi, Muscat•",1,OMR 140,400 SQM
store for rent,"Al Seeb, Muscat•",,OMR 600,100 SQM
محل تجاري للايجار في بوشر (مساحة المحل: 27.5 متر مربع),"Bosher, Muscat•",,OMR 150,28 SQM
سكن عمال للايجار,"Salalah, Dhofar•",6,OMR 400,400 SQM
الخوض,"Al Khoud, Muscat•",1,OMR 80,20 SQM
محلات جديده واسعه وحوش بمساحه كبيره جدا في قلب ولايه صور,"Sur, Al Sharqiya•",,OMR 130,40 SQM
Shop for Rent in Wadi Adai (near ruwi),"Ruwi, Muscat•",,OMR 50,15 SQM
المعبيله خلف انستو,"Al Maabilah, Muscat•",2,OMR 220,70 SQM
الموالح الشمالية خلف مركز البهجه مباشرة,"Al Hail, Muscat•",1,OMR 120,100 SQM
bed space available,"Al Ghubrah, Muscat•",1,OMR 35,"5,555 SQM"
Furnished bed space available with wifi,"Al Mawaleh, Muscat•",1,OMR 35,200 SQM
شقة في مرتفعات الأنصب / غرفتين وصالة و ٣ حمامات,"Ansab, Muscat•",2,OMR 260,60 SQM
House shiffting service all Muscat oman and Dubai house,"Al Ghubrah, Muscat•",2,OMR 65,98 SQM
House shiffting service all Muscat oman and Dubai to Muscat oman,"Al Khoud, Muscat•",4,OMR 120,98 SQM
Rooms for rent in Al Khuwair,"Al Khuwair, Muscat•",1,OMR 90,25 SQM
غرفة للايجار في الخوير ٣٣,"Al Khuwair, Muscat•",1,OMR 90,25 SQM
Melody Stay,"Al Mawaleh, Muscat•",6,OMR 149,300 SQM
مكتب لايجار- في مركز الجامعة للأعمال,"Al Khoud, Muscat•",,OMR 280,57 SQM
صحلنوت,"Salalah, Dhofar•",1,OMR 15,10 SQM
للايجار شقق ديلوكس,"Barka, Al Batinah•",2,OMR 200,100 SQM
المعبيلة التجارية خلف نستو,"Al Seeb, Muscat•",1,OMR 100,20 SQM
Office for Rent Maabilah Sanaya no-10,"Al Maabilah, Muscat•",1,OMR 120,99 SQM
شقة للأيجار,"Al Mawaleh, Muscat•",1,OMR 80,20 SQM
amazung house near wave mode4n,"Al Mawaleh, Muscat•",4,OMR 700,300 SQM
شقة ايجار يومي او شهري,"Al Khoud, Muscat•",2,OMR 250,100 SQM
room for rent,"Al Khoud, Muscat•",1,OMR 120,100 SQM
BED SPACE AVAILABLE FOR EXICUTIVE BACHELORS,"Al Maabilah, Muscat•",2,OMR 30,400 SQM
Offices Multiple Options in Ghoubra LRC19 | WA 76324666,"Al Ghubrah, Muscat•",,OMR 699,145 SQM
3+1BHK High-Quality Compound Villa in Qurum WA 76324666 LRV44,"Qurum, Muscat•",4,OMR 749,300 SQM
Room for rent with the best price,"Al Maabilah, Muscat•",8,OMR 120,15 SQM
"Elegant Apartment for Rent – 2nd Floor | South Maabela, Seeb","Al Maabilah, Muscat•",3,OMR 185,999 SQM
separate room for family,"Azaiba, Muscat•",1,OMR 145,102 SQM
شقة للايجار بموقع مميز في الخوير,"Al Khuwair, Muscat•",3,OMR 340,200 SQM
شقة بثلاث غرف نوم للإيجار في سوق الخوض وقريب الخدمات,"Al Khoud, Muscat•",3,OMR 210,120 SQM
الحيل الشمالية,"Al Hail, Muscat•",1,OMR 75,25 SQM
شقة للايجار اليومي في منطقة صحلنوت خلف بنك مسقط,"Salalah, Dhofar•",3,OMR 50,350 SQM
"New, clean and upscale villa for rent in North Al Hail","Al Hail, Muscat•",2,OMR 250,100 SQM
شقةللإيجار بيت الفلج,"Ruwi, Muscat•",2,OMR 180,110 SQM
شقة في الخوير الجنوبية للإيجار,"Al Khuwair, Muscat•",3,OMR 350,350 SQM
Room for rent with common Toilet Ro. 80 (Looking for Malayali),"Al Khuwair, Muscat•",2,OMR 80,16 SQM
Fiber Optics Cabling solutions for Buildings - Stark,"Muscat - Other, Muscat•",,OMR 100,"1,000 SQM"
VILLA FOR RENT 5 BHK_ SALALAH,"Salalah, Dhofar•",5,OMR 125,333 SQM
Family Sharing Room,"Al Hamriyah, Muscat•",1,OMR 100,20 SQM
غرفة للايجار اليومي,"Salalah, Dhofar•",1,OMR 50,600 SQM
"Rooms for Rent in Al Multaqa, Sohar","Sohar, Al Batinah•",5,OMR 10,"1,200 SQM"
luxury villa for rent luzug,"Sumail, Al Dakhiliya•",5,OMR 500,316 SQM
1BHK with hall 120R. O,"Al Maabilah, Muscat•",2,OMR 120,100 SQM
room/Bedspace available,"Ruwi, Muscat•",3,OMR 80,100 SQM
Room for renting,"Al Maabilah, Muscat•",1,OMR 60,30 SQM
STANDALONE 3 BHK VILL AT MSQ,"Madinat As Sultan Qaboos, Muscat•",,OMR 700,"1,500 SQM"
الخوير 33,"Al Khuwair, Muscat•",1,OMR 150,80 SQM
للايجار ارض صناعيه . . open yard,"Barka, Al Batinah•",,"OMR 1,999","5,000 SQM"
2BHK AND 1BHK AT AL MAHA STREET 5 MIN CAR DRIVE TO LULU GUBRAH,"Al Khuwair, Muscat•",2,OMR 230,110 SQM
1 BHK penthouse for rent located al khoud al barakat st,"Al Khoud, Muscat•",1,OMR 270,100 SQM
2 BHK apartment for rent located alkhwair,"Al Khuwair, Muscat•",2,OMR 250,110 SQM
2 BHK apartment for rent located alkhwair,"Al Khuwair, Muscat•",2,OMR 250,110 SQM
شقه للايجار apartment for rent,"Qantab, Muscat•",3,OMR 150,110 SQM
Furnished 2 BHK APARTMENT IN GHALA,"Ghala, Muscat•",2,OMR 250,200 SQM
منزل للايجار في محضه,"Mahdhah, Al Buraimi•",2,OMR 85,120 SQM
فلل وشقق للايجار في صلالة,"Salalah, Dhofar•",3,OMR 50,"1,000 SQM"
shops and store office for rent in 18 nov,"Al Ghubrah, Muscat•",,OMR 400,146 SQM
Offices and shops stores for rent,"Al Ghubrah, Muscat•",,OMR 400,140 SQM
House shiffting service all Muscat oman and Dubai to Muscat oman,"Darsait, Muscat•",2,OMR 50,98 SQM
"صحار فلج القبائل البريد  -  Falaj , Suhar neer Falaj park","Sohar, Al Batinah•",2,OMR 100,100 SQM
Room For Rent With Attached bathroom,"Al Hail, Muscat•",1,OMR 130,"1,600 SQM"
غرفه وحمام بدون فرش في الغبره الجنوبية قريب من ماركت الملينيوم,"Al Ghubrah, Muscat•",1,OMR 120,"9,000 SQM"
Room for rent for indian Ladies,"Bosher, Muscat•",1,OMR 120,40 SQM
advertising board rooftop,"Ruwi, Muscat•",,OMR 400,30 SQM
Shared Room for Berka. (Rumais )Preference for Indian (kerala),"Barka, Al Batinah•",1,OMR 65,215 SQM
"2 BHK MUMTAZ FIRST LINE, RUWI","Ruwi, Muscat•",2,OMR 170,100 SQM
غرفة للإيجار اليومي فقط,"Ibri, Al Dhahirah•",1,OMR 10,15 SQM
شقة للإيجار اليومي بالجبل الاخضر apartment 4 rent in Jabal Akhdar,"Nizwa, Al Dakhiliya•",3,OMR 50,150 SQM
luxury villa for rent in compound alghubrah,"Al Ghubrah, Muscat•",4,OMR 600,330 SQM
One Bedroom flat Ruwi CBD,"Ruwi, Muscat•",1,OMR 135,75 SQM
غرف مع دوره مياه للايجار اليومي ولاية نزوى فرق,"Nizwa, Al Dakhiliya•",1,OMR 15,66 SQM
Room with bathroom and kitchen,"Qurum, Muscat•",1,OMR 130,60 SQM
Single or couple 90,"Al Khoud, Muscat•",1,OMR 85,24 SQM
60 riyals only with electricity and water,"Ruwi, Muscat•",1,OMR 60,20 SQM
مسقط السيب الحيل الجنوبية,"Al Hail, Muscat•",3,OMR 290,220 SQM
فلة للإيجار بركاء/ الرميس,"Barka, Al Batinah•",4,OMR 350,276 SQM
شقق و غرف,"Salalah, Dhofar•",2,OMR 50,"2,400 SQM"
House for Rent – Behind the Old Dragon Market Baraka منزل للايجار,"Barka, Al Batinah•",4,OMR 350,245 SQM
Room for Rent,"Ruwi, Muscat•",1,OMR 80,25 SQM
amazing flat in Qantab Bar Aljessah compound  sea view,"Barr Al Jissah, Muscat•",2,OMR 850,200 SQM
1 bed place for rent,"Ruwi, Muscat•",1,OMR 22,20 SQM
1bhk apartment incloding water and elctrcity and enter net 160 Rials,"Nizwa, Al Dakhiliya•",1,OMR 160,70 SQM
Renovated 3 bedroom flat at Al Hail North,"Al Hail, Muscat•",3,OMR 350,138 SQM
"Frosted and Black Tinted film available,Logo Branding Printing Plotter","Al Khuwair, Muscat•",,"OMR 5,000",10 SQM
Private Room for Rent in Azaiba – Prime Location Near Starbucks 18 Nov,"Azaiba, Muscat•",1,OMR 100,90 SQM
Suhar Falaj  AL Qabail  behind BaderAL Sama Hospital,"Sohar, Al Batinah•",2,OMR 120,80 SQM
House villa shiffting service all Muscat oman and Dubai to Muscat,"Al Khoud, Muscat•",4,OMR 120,98 SQM
House shiffting service all Muscat oman and Muscat oman to Dubai,"Qurum, Muscat•",2,OMR 60,98 SQM
House shiffting service all Muscat oman and Dubai to Muscat oman,"Muscat Hills, Muscat•",2,OMR 75,65 SQM
الغبره,"Al Ghubrah, Muscat•",1,OMR 160,55 SQM
fully furnished flat,"Ruwi, Muscat•",1,OMR 140,450 SQM
Brand new Fully Furnished 1bhk,"Al Ghubrah, Muscat•",1,OMR 420,90 SQM
شاطئ القرم,"Qurum, Muscat•",1,OMR 550,92 SQM
2 bhk fully furnished,"Ghala, Muscat•",2,OMR 255,"2,000 SQM"
صلاله,"Salalah, Dhofar•",7,OMR 50,300 SQM
فيلا للايجار في المعبيلة الجنوبية,"Al Maabilah, Muscat•",6,OMR 300,320 SQM
غرف للموظفات بالحيل الجنوبيه Furnished rooms for female employees,"Al Hail, Muscat•",3,OMR 40,10 SQM
غرف وشقق للايجار اليومي والشهري / Rooms and apartments for daily and m,"Al Mawaleh, Muscat•",1,OMR 10,25 SQM
غرف للايجار اليومي في ولاية نزوى قريب دوار اللولو,"Nizwa, Al Dakhiliya•",3,OMR 10,10 SQM
room for Rent,"Al Khuwair, Muscat•",1,OMR 100,20 SQM
single room with attached bathroom for rent  behind Nesto,"Al Maabilah, Muscat•",1,OMR 80,100 SQM
شقة للايجار اليومي والاسبوعي المعبيلة 13 ريال,"Al Maabilah, Muscat•",1,"OMR 1,300",120 SQM
Flat for Rent – Brand New Building in Ghala Heights!,"Ghala, Muscat•",1,OMR 225,75 SQM
Executive Bachelor Accommodation  AT ALKHUWAIR,"Al Khuwair, Muscat•",1,OMR 80,55 SQM
للايجار أرضي صناعية,"Al Sinainah, Al Buraimi•",,OMR 500,"3,637 SQM"
غرفتين وصاله بمطبخ أمريكي بالموالح قريب شارع مازون شامل الفوتير,"Al Mawaleh, Muscat•",2,OMR 200,50 SQM
شقه غرفه وصاله وحمام ومطبخ بالموالح قريب من سوق الخضار,"Al Mawaleh, Muscat•",1,OMR 160,50 SQM
House shiffting service all Muscat oman and Dubai to Muscat oman and,"Al Khoud, Muscat•",2,OMR 75,68 SQM
مسقط الخوض السادسة,"Al Khoud, Muscat•",2,OMR 150,120 SQM
فيلا للايجار في خريف صلالة ( عوقد ),"Salalah, Dhofar•",3,OMR 80,200 SQM
Furnished Rom for exicutive Bachilor or family Near ISD,"Darsait, Muscat•",2,OMR 110,10 SQM
Room with attached washrrom available for rent full/sharing basis,"Al Ghubrah, Muscat•",1,OMR 55,100 SQM
شقة للاجار اليومي خريف 2025,"Salalah, Dhofar•",3,OMR 66,133 SQM
furnished room available for male executive bachelor in ghubrah,"Al Ghubrah, Muscat•",1,OMR 130,20 SQM
شقه جديده مفروشه للايجار الموقع صحلنوت,"Salalah, Dhofar•",2,OMR 50,130 SQM
مخازن للإيجار في الموالح,"Al Mawaleh, Muscat•",,OMR 270,100 SQM
1BHK & 2BHK in AL AMARAT for rent,"Al Amarat, Muscat•",1,OMR 110,55.5 SQM
"A bed space for daily, weekly and monthly rent","Al Khuwair, Muscat•",1,OMR 40,33 SQM
"Spacious 2-Bedroom Apartment for Rent in Al Mahaj, Al Amerat – Prime L","Al Amarat, Muscat•",2,OMR 175,110 SQM
1BHK Apartment in Al Amerat,"Al Amarat, Muscat•",1,OMR 100,65 SQM
1BHK & 2BHK Apartment in Al Ansab For Rent,"Ansab, Muscat•",2,OMR 220,145 SQM
House shiffting service all Muscat oman and Muscat oman to Dubai,"Madinat As Sultan Qaboos, Muscat•",2,OMR 70,98 SQM
2 Brand New Shops,"Barka, Al Batinah•",,OMR 285,24.64 SQM
‎محل جديد للإيجار في دانة العرفان في الواجهة,"Ghala, Muscat•",,OMR 340,39 SQM
فيلا السعادة الجنوبية آجار يومي قرب الخدمات,"Salalah, Dhofar•",5,OMR 80,300 SQM
Sharing Room for Rent near Ruwi Madrasa,"Ruwi, Muscat•",1,OMR 30,30 SQM
House shiffting service all Muscat oman and Dubai to Muscat oman,"Al Wadi Al Kabir, Muscat•",2,OMR 55,95 SQM
House shiffting service all Muscat oman and Dubai to Muscat oman,"Al Khuwair, Muscat•",4,OMR 115,98 SQM
House shiffting service all Muscat oman and Dubai to Muscat oman,"Al Mawaleh, Muscat•",4,OMR 120,98 SQM
شقة للايجار بمنتجع هوانا صلالة,"Salalah, Dhofar•",1,OMR 65,63 SQM
شقتين دور أرضي 35 ريال السعادة الجنوبية قرب الخدمات,"Salalah, Dhofar•",2,OMR 50,100 SQM
ابحث عن شقه للإيجار,"Al Maabilah, Muscat•",3,OMR 120,120 SQM
New House For Rent,"Sohar, Al Batinah•",2,OMR 180,750 SQM
Muscat Tourist Hostel,"Al Ghubrah, Muscat•",3,,196 SQM
"We have in North Ghubrah, South Ghubrah, Al Khuwair and Al Udhaiba 110","Al Ghubrah, Muscat•",1,OMR 100,120 SQM
House shiffting service all Muscat oman and Dubai and the best price,"Qurum, Muscat•",2,OMR 60,98 SQM
House shiffting service all Muscat oman and Dubai to Muscat oman,"Muscat Hills, Muscat•",2,OMR 75,98 SQM
Brand new offices in Mawaleh/Al Hail / Al Khoud,"Al Hail, Muscat•",,OMR 100,15 SQM
Furnished and Serviced Offices for Rent in Mazoon Square,"Al Mawaleh, Muscat•",,OMR 150,10 SQM
من المالك مباشرة ارض سكنية للايجار او الاستثمار بصحار /فلج القبائل,"Sohar, Al Batinah•",,"OMR 1,200","6,000 SQM"
بركاءقرحة البلوش,"Barka, Al Batinah•",,OMR 65,55 SQM
"2BHK FLAT for RENT, spacious suited for FAMILIES","Al Hamriyah, Muscat•",2,OMR 160,95 SQM
Movers and packers all Muscat oman and Dubai to Muscat oman and,"Al Maabilah, Muscat•",2,OMR 70,68 SQM
single room rent,"Al Ghubrah, Muscat•",1,OMR 100,100 SQM
Gulf Hotel Apartments with special discounts,"Al Ghubrah, Muscat•",,OMR 50,65 SQM
Office / Shop /  Boutique / Store,"Ruwi, Muscat•",,OMR 190,39 SQM
A beautiful apartment for rent in alhail north directly from the owner,"Al Hail, Muscat•",3,OMR 300,100 SQM
